date,lat,lon,time
10/06/2018,51.50722,-0.1275,Midday
11/06/2018,51.5101602,-0.287387,Evening
09/06/2018,51.6078336,-0.1640502,Midday
10/06/2018,51.577515,-0.106504,Midday
11/06/2018,51.6129362,-0.2768678,Morning Rush
09/06/2018,51.5904557,-0.1034463,Evening
10/06/2018,51.5778436,0.1860797,Midday
11/06/2018,51.5212019,-0.4633863,Midday
09/06/2018,51.5570443,-0.1184111,Afternoon Rush
10/06/2018,51.5705582,-0.0960841,Midday
11/06/2018,51.4430476,0.2142254,Midday
09/06/2018,51.4094079,-0.3030746,Midday
10/06/2018,51.4356225,-0.1066583,Afternoon Rush
11/06/2018,51.4747489,-0.0249658,Morning Rush
09/06/2018,51.464007,-0.3014498,Morning Rush
10/06/2018,51.5112079,-0.1193447,Afternoon Rush
11/06/2018,51.5299092,-0.1860307,Evening
09/06/2018,51.6176542,-0.3095408,Midday
10/06/2018,51.5608033,-0.1995342,Evening
11/06/2018,51.397144,-0.0852703,Midday
09/06/2018,51.3691775,-0.0978931,Afternoon Rush
10/06/2018,51.4990797,0.0060965,Afternoon Rush
11/06/2018,51.4493611,-0.074535,Morning Rush
09/06/2018,51.4637225,-0.1496897,Midday
10/06/2018,51.4722042,-0.1127279,Midday
11/06/2018,51.4498706,-0.0467182,Afternoon Rush
09/06/2018,51.496991,-0.1025916,Midday
10/06/2018,51.4749631,-0.0921476,Afternoon Rush
11/06/2018,51.4571291,-0.372425,Afternoon Rush
09/06/2018,51.5348575,0.0514763,Midday
10/06/2018,51.5443146,-0.2113465,Midday
11/06/2018,51.5101602,-0.287387,Evening
09/06/2018,51.4405972,0.0694855,Morning Rush
10/06/2018,51.45998,0.1531595,Evening
11/06/2018,51.5135323,-0.1363182,Midday
09/06/2018,51.3736667,-0.2330327,Morning Rush
10/06/2018,51.5136054,-0.0491965,Midday
11/06/2018,51.6178247,0.0005881,Evening
09/06/2018,51.5422761,-0.2355554,Midday
10/06/2018,51.5450806,-0.2182891,Midday
11/06/2018,51.5382356,-0.1420054,Early Morning
09/06/2018,51.5904557,-0.1034463,Midday
10/06/2018,51.5879739,-0.0583666,Evening
11/06/2018,51.496991,-0.1025916,Afternoon Rush
09/06/2018,51.5418206,0.0505307,Midday
10/06/2018,51.5419138,0.0242003,Midday
11/06/2018,51.485209,0.1563876,Midday
09/06/2018,51.4405003,-0.1516194,Midday
10/06/2018,51.555706,-0.17648,Afternoon Rush
